┌────────────────────┬──────────────────────────────┬──────────────────┐
│ operations_manager │ service_orders               │ update           │
│ operations_manager │ stock_movements              │ create           │
│ operations_manager │ stock_movements              │ read             │
│ operations_manager │ support_tickets              │ create           │
│ operations_manager │ support_tickets              │ read             │
│ operations_manager │ support_tickets              │ update           │
│ operations_manager │ tasks                        │ create           │
│ operations_manager │ tasks                        │ read             │
│ operations_manager │ tasks                        │ update           │
│ operator           │ companies                    │ create           │
│ operator           │ companies                    │ read             │
│ operator           │ contracts                    │ create           │
│ operator           │ contracts                    │ read             │
│ operator           │ documents                    │ create           │
│ operator           │ documents                    │ read             │
│ operator           │ files                        │ read             │
│ operator           │ products                     │ create           │
│ operator           │ products                     │ read             │
│ operator           │ purchase_orders              │ create           │
│ operator           │ purchase_orders              │ read             │
│ operator           │ purchase_receipts            │ create           │
│ operator           │ purchase_receipts            │ read             │
│ operator           │ service_orders               │ create           │
│ operator           │ service_orders               │ read             │
│ operator           │ stock_movements              │ create           │
│ operator           │ stock_movements              │ read             │
│ operator           │ support_tickets              │ create           │
│ operator           │ support_tickets              │ read             │
│ operator           │ tasks                        │ create           │
│ operator           │ tasks                        │ read             │
│ recruiter          │ applications                 │ advance          │
│ recruiter          │ applications                 │ approve          │
│ recruiter          │ applications                 │ create           │
│ recruiter          │ applications                 │ interview        │
│ recruiter          │ applications                 │ read             │
│ recruiter          │ applications                 │ reject           │
│ recruiter          │ applications                 │ update           │
│ recruiter          │ applications.history         │ read             │
│ recruiter          │ candidates                   │ create           │
│ recruiter          │ candidates                   │ export           │
│ recruiter          │ candidates                   │ read             │
│ recruiter          │ candidates                   │ update           │
│ recruiter          │ candidates.documents         │ read             │
│ recruiter          │ candidates.profile           │ read             │
│ recruiter          │ dashboard                    │ read             │
│ recruiter          │ jobs                         │ archive          │
│ recruiter          │ jobs                         │ create           │
│ recruiter          │ jobs                         │ publish          │
│ recruiter          │ jobs                         │ read             │
│ recruiter          │ jobs                         │ update           │
│ recruiter          │ recruitment                  │ advance          │
│ recruiter          │ recruitment                  │ create           │
│ recruiter          │ recruitment                  │ read             │
│ recruiter          │ recruitment                  │ reject           │
│ recruiter          │ recruitment                  │ update           │
│ recruiter          │ recruitment_demands          │ read             │
│ recruiter          │ reports                      │ read             │
│ recruiter          │ talent_pool                  │ match            │
│ recruiter          │ talent_pool                  │ read             │
│ rh_manager         │ applications                 │ advance          │
│ rh_manager         │ applications                 │ approve          │
│ rh_manager         │ applications                 │ create           │
│ rh_manager         │ applications                 │ interview        │
│ rh_manager         │ applications                 │ read             │
│ rh_manager         │ applications                 │ reject           │
│ rh_manager         │ applications                 │ update           │
│ rh_manager         │ applications.history         │ read             │
│ rh_manager         │ candidates                   │ create           │
│ rh_manager         │ candidates                   │ delete           │
│ rh_manager         │ candidates                   │ export           │
│ rh_manager         │ candidates                   │ read             │
│ rh_manager         │ candidates                   │ update           │
│ rh_manager         │ candidates.documents         │ manage           │
│ rh_manager         │ candidates.documents         │ read             │
│ rh_manager         │ candidates.profile           │ read             │
│ rh_manager         │ dashboard                    │ read             │
│ rh_manager         │ files                        │ create           │
│ rh_manager         │ files                        │ delete           │
│ rh_manager         │ files                        │ read             │
│ rh_manager         │ files                        │ update           │
│ rh_manager         │ jobs                         │ archive          │
│ rh_manager         │ jobs                         │ close            │
│ rh_manager         │ jobs                         │ create           │
│ rh_manager         │ jobs                         │ delete           │
│ rh_manager         │ jobs                         │ publish          │
│ rh_manager         │ jobs                         │ read             │
│ rh_manager         │ jobs                         │ update           │
│ rh_manager         │ people                       │ create           │
│ rh_manager         │ people                       │ export           │
│ rh_manager         │ people                       │ read             │
│ rh_manager         │ people                       │ update           │
│ rh_manager         │ recruitment                  │ advance          │
│ rh_manager         │ recruitment                  │ create           │
│ rh_manager         │ recruitment                  │ delete           │
│ rh_manager         │ recruitment                  │ read             │
│ rh_manager         │ recruitment                  │ reject           │
│ rh_manager         │ recruitment                  │ update           │
│ rh_manager         │ recruitment_demands          │ create           │
│ rh_manager         │ recruitment_demands          │ delete           │
│ rh_manager         │ recruitment_demands          │ read             │
│ rh_manager         │ recruitment_demands          │ update           │
│ rh_manager         │ recruitment.stage            │ manage           │
│ rh_manager         │ reports                      │ export           │
│ rh_manager         │ reports                      │ generate         │
│ rh_manager         │ reports                      │ read             │
│ rh_manager         │ talent_pool                  │ manage           │
│ rh_manager         │ talent_pool                  │ match            │
│ rh_manager         │ talent_pool                  │ read             │
│ security_manager   │ dashboard                    │ read             │
│ security_manager   │ documents                    │ create           │
│ security_manager   │ documents                    │ read             │
│ security_manager   │ files                        │ read             │
│ security_manager   │ people                       │ read             │
│ security_manager   │ people                       │ update           │
│ security_manager   │ security_events              │ read             │
│ stock_manager      │ dashboard                    │ read             │
│ stock_manager      │ products                     │ read             │
│ stock_manager      │ products                     │ update           │
│ stock_manager      │ purchase_orders              │ create           │
│ stock_manager      │ purchase_orders              │ read             │
│ stock_manager      │ purchase_receipts            │ create           │
│ stock_manager      │ purchase_receipts            │ read             │
│ stock_manager      │ reports                      │ read             │
│ stock_manager      │ stock_movements              │ create           │
│ stock_manager      │ stock_movements              │ read             │
│ support            │ chat                         │ create           │
│ support            │ chat                         │ read             │
│ support            │ dashboard                    │ read             │
│ support            │ files                        │ read             │
│ support            │ people                       │ read             │
│ support            │ support_tickets              │ close            │
│ support            │ support_tickets              │ create           │
│ support            │ support_tickets              │ read             │
│ support            │ support_tickets              │ resolve          │
│ support            │ support_tickets              │ update           │
│ tenant_admin       │ accounting.chart_of_accounts │ create           │
│ tenant_admin       │ accounting.chart_of_accounts │ delete           │
│ tenant_admin       │ accounting.chart_of_accounts │ read             │
│ tenant_admin       │ accounting.chart_of_accounts │ update           │
│ tenant_admin       │ accounting.dashboard         │ read             │
│ tenant_admin       │ accounting.entries           │ create           │
│ tenant_admin       │ accounting.entries           │ delete           │
│ tenant_admin       │ accounting.entries           │ read             │
│ tenant_admin       │ accounting.entries           │ update           │
│ tenant_admin       │ accounting.reconciliation    │ read             │
│ tenant_admin       │ accounting.reports           │ export           │
│ tenant_admin       │ accounting.reports           │ read             │
│ tenant_admin       │ accounting.trial_balance     │ read             │
│ tenant_admin       │ applications                 │ advance          │
│ tenant_admin       │ applications                 │ approve          │
│ tenant_admin       │ applications                 │ create           │
│ tenant_admin       │ applications                 │ read             │
│ tenant_admin       │ applications                 │ reject           │
│ tenant_admin       │ applications                 │ update           │
│ tenant_admin       │ applications.history         │ read             │
│ tenant_admin       │ audit                        │ export           │
│ tenant_admin       │ audit                        │ read             │
│ tenant_admin       │ audit_logs                   │ read             │
│ tenant_admin       │ billing                      │ cancel           │
│ tenant_admin       │ billing                      │ create           │
│ tenant_admin       │ billing                      │ export           │
│ tenant_admin       │ billing                      │ read             │
│ tenant_admin       │ billing                      │ update           │
│ tenant_admin       │ candidates                   │ create           │
│ tenant_admin       │ candidates                   │ delete           │
│ tenant_admin       │ candidates                   │ read             │
│ tenant_admin       │ candidates                   │ update           │
│ tenant_admin       │ candidates.documents         │ manage           │
│ tenant_admin       │ candidates.documents         │ read             │
│ tenant_admin       │ candidates.profile           │ read             │
│ tenant_admin       │ chat                         │ create           │
│ tenant_admin       │ chat                         │ handoff          │
│ tenant_admin       │ chat                         │ read             │
│ tenant_admin       │ companies                    │ create           │
│ tenant_admin       │ companies                    │ delete           │
│ tenant_admin       │ companies                    │ read             │
│ tenant_admin       │ companies                    │ update           │
│ tenant_admin       │ contracts                    │ create           │
│ tenant_admin       │ contracts                    │ read             │
│ tenant_admin       │ contracts                    │ renew            │
│ tenant_admin       │ contracts                    │ update           │
│ tenant_admin       │ dashboard                    │ read             │
│ tenant_admin       │ documents                    │ create           │
│ tenant_admin       │ documents                    │ publish          │
│ tenant_admin       │ documents                    │ read             │
│ tenant_admin       │ documents                    │ update           │
│ tenant_admin       │ documents                    │ version          │
│ tenant_admin       │ files                        │ create           │
│ tenant_admin       │ files                        │ delete           │
│ tenant_admin       │ files                        │ read             │
│ tenant_admin       │ files                        │ update           │
│ tenant_admin       │ files                        │ upload           │
│ tenant_admin       │ finance                      │ approve          │
│ tenant_admin       │ finance                      │ create           │
│ tenant_admin       │ finance                      │ delete           │
│ tenant_admin       │ finance                      │ export           │
│ tenant_admin       │ finance                      │ read             │
│ tenant_admin       │ finance                      │ reconcile        │
│ tenant_admin       │ finance                      │ update           │
│ tenant_admin       │ finance.accounts_payable     │ create           │
│ tenant_admin       │ finance.accounts_payable     │ delete           │
│ tenant_admin       │ finance.accounts_payable     │ read             │
│ tenant_admin       │ finance.accounts_payable     │ update           │
│ tenant_admin       │ finance.accounts_receivable  │ create           │
│ tenant_admin       │ finance.accounts_receivable  │ delete           │
│ tenant_admin       │ finance.accounts_receivable  │ read             │
│ tenant_admin       │ finance.accounts_receivable  │ update           │
│ tenant_admin       │ finance.billing              │ cancel           │
│ tenant_admin       │ finance.billing              │ create           │
│ tenant_admin       │ finance.billing              │ read             │
│ tenant_admin       │ finance.billing              │ update           │
│ tenant_admin       │ finance.cashflow             │ read             │
│ tenant_admin       │ finance.dashboard            │ read             │
│ tenant_admin       │ finance.reports              │ export           │
│ tenant_admin       │ finance.reports              │ read             │
│ tenant_admin       │ finance.suppliers            │ read             │
│ tenant_admin       │ fiscal.dashboard             │ read             │
│ tenant_admin       │ fiscal.invoices              │ cancel           │
│ tenant_admin       │ fiscal.invoices              │ issue            │
│ tenant_admin       │ fiscal.invoices              │ read             │
│ tenant_admin       │ fiscal.invoices              │ void             │
│ tenant_admin       │ fiscal.reports               │ export           │
│ tenant_admin       │ fiscal.reports               │ read             │
│ tenant_admin       │ fiscal.taxes                 │ read             │
│ tenant_admin       │ integrations                 │ create           │
│ tenant_admin       │ integrations                 │ delete           │
│ tenant_admin       │ integrations                 │ manage           │
│ tenant_admin       │ integrations                 │ test             │
│ tenant_admin       │ integrations                 │ update           │
│ tenant_admin       │ jobs                         │ archive          │
│ tenant_admin       │ jobs                         │ close            │
│ tenant_admin       │ jobs                         │ create           │
│ tenant_admin       │ jobs                         │ delete           │
│ tenant_admin       │ jobs                         │ publish          │
│ tenant_admin       │ jobs                         │ read             │
│ tenant_admin       │ jobs                         │ update           │
│ tenant_admin       │ lgpd                         │ manage_consent   │
│ tenant_admin       │ lgpd                         │ manage_retention │
│ tenant_admin       │ lgpd                         │ read             │
│ tenant_admin       │ notifications                │ create           │
│ tenant_admin       │ notifications                │ read             │
│ tenant_admin       │ people                       │ create           │
│ tenant_admin       │ people                       │ delete           │
│ tenant_admin       │ people                       │ read             │
│ tenant_admin       │ people                       │ update           │
│ tenant_admin       │ permissions                  │ read             │
│ tenant_admin       │ products                     │ create           │
│ tenant_admin       │ products                     │ delete           │
│ tenant_admin       │ products                     │ read             │
│ tenant_admin       │ products                     │ update           │
│ tenant_admin       │ purchase_orders              │ confirm          │
│ tenant_admin       │ purchase_orders              │ create           │
│ tenant_admin       │ purchase_orders              │ read             │
│ tenant_admin       │ purchase_orders              │ update           │
│ tenant_admin       │ purchase_receipts            │ confirm          │
│ tenant_admin       │ purchase_receipts            │ create           │
│ tenant_admin       │ purchase_receipts            │ read             │
│ tenant_admin       │ recruitment                  │ advance          │
│ tenant_admin       │ recruitment                  │ create           │
│ tenant_admin       │ recruitment                  │ delete           │
│ tenant_admin       │ recruitment                  │ read             │
│ tenant_admin       │ recruitment                  │ reject           │
│ tenant_admin       │ recruitment                  │ update           │
│ tenant_admin       │ recruitment_demands          │ create           │
│ tenant_admin       │ recruitment_demands          │ delete           │
│ tenant_admin       │ recruitment_demands          │ read             │
│ tenant_admin       │ recruitment_demands          │ update           │
│ tenant_admin       │ recruitment.stage            │ manage           │
│ tenant_admin       │ reports                      │ export           │
│ tenant_admin       │ reports                      │ generate         │
│ tenant_admin       │ reports                      │ read             │
│ tenant_admin       │ roles                        │ create           │
│ tenant_admin       │ roles                        │ read             │
│ tenant_admin       │ roles                        │ update           │
│ tenant_admin       │ security_events              │ read             │
│ tenant_admin       │ service_orders               │ cancel           │
│ tenant_admin       │ service_orders               │ complete         │
│ tenant_admin       │ service_orders               │ create           │
│ tenant_admin       │ service_orders               │ read             │
│ tenant_admin       │ service_orders               │ update           │
│ tenant_admin       │ stock_movements              │ create           │
│ tenant_admin       │ stock_movements              │ export           │
│ tenant_admin       │ stock_movements              │ read             │
│ tenant_admin       │ support_tickets              │ close            │
│ tenant_admin       │ support_tickets              │ create           │
│ tenant_admin       │ support_tickets              │ read             │
│ tenant_admin       │ support_tickets              │ resolve          │
│ tenant_admin       │ support_tickets              │ update           │
│ tenant_admin       │ talent_pool                  │ manage           │
│ tenant_admin       │ talent_pool                  │ match            │
